id,name,created_at,updated_at
02d0ea88-9786-44ca-8f23-0e1a2e3f4f5c,Earth,2019-03-14 11:42:06,2020-01-04 04:05:32
04f544a0-8614-4437-90b3-6ef5cc80658e,Lodi and Sayyid Dynasty,2019-03-14 11:38:45,2020-01-04 04:05:32
06b8467e-4223-41ac-b474-245cbdf7e2f2,General Science,2019-03-14 11:31:34,2020-01-04 04:05:32
08793090-b5cd-44c3-8b65-d7a4ab4a28f5,Awards and Honours,2019-03-14 11:31:34,2020-01-04 04:05:32
0ac41b2e-7ed1-4540-94d3-505f584916ae,World History,2019-03-14 11:38:45,2020-01-04 04:05:32
0b6845ba-481d-4665-80e2-86ee65ceb0a4,Indian Economy,2019-03-14 11:31:34,2020-01-04 04:05:32
0dfbbf85-d9b2-45ed-87e1-132171062609,Chemistry,2019-03-14 11:31:34,2020-01-04 04:05:32
15c1b592-c80d-4ba1-a484-5c8539f36e6c,Mauryan Empire,2019-03-14 11:38:45,2020-01-04 04:05:32
1fcecba7-7d77-4bcb-b95a-9ef7439bc0c1,Technology,2019-03-14 11:31:34,2020-01-04 04:05:32
20a1a9eb-ab15-4119-9a83-685429c10f64,Indian Culture,2019-03-14 11:31:34,2020-01-04 04:05:32
24e028a5-b6ed-45c1-a9a0-f90e5875fb12,World Organisations,2019-03-14 11:31:34,2020-01-04 04:05:32
26aaa237-f53e-4511-86dd-486d6d9ad4c6,Agriculture and Soil in Indian Geography,2019-03-14 11:42:06,2020-01-04 04:05:32
28656837-77b5-458b-831f-6a44b9dd9b64,Sports,2019-03-14 11:31:34,2020-01-04 04:05:32
2983fc44-bd19-4bdf-b151-ee14ba86a33a,Indus Valley Civilisation,2019-03-14 11:38:45,2020-01-04 04:05:32
2998866d-659c-43b0-ac3b-f4f23d334ad2,Universe,2019-03-14 11:42:06,2020-01-04 04:05:32
2a2a7033-8a1a-40ab-9d04-76c75e26c4d4,Famous Personalities,2019-03-14 11:31:34,2020-01-04 04:05:32
2b835def-09d6-4e7a-8a2a-ffe964bd36c3,Hydrosphere,2019-03-14 11:42:06,2020-01-04 04:05:32
2ccbe624-ff86-4fc8-80ab-512761a6218d,Miscellaneous World Geography,2019-03-14 11:42:06,2020-01-04 04:05:32
31921887-e83c-4659-8c25-21d1627f4d35,Lithosphere,2019-03-14 11:42:06,2020-01-04 04:05:32
31e6c860-456b-422e-944e-98b3095d5c16,Inventions,2019-03-14 11:31:34,2020-01-04 04:05:32
3283f9d1-5b71-4ea4-adba-0e9805617e83,Tally,2019-03-14 11:49:09,2020-01-04 04:05:32
364a5481-48f0-4599-93b3-a3a0342d274a,Computer Fundamental,2019-03-14 11:31:34,2020-01-04 04:05:32
3c3e23a1-1868-4904-aadc-619af5512fab,Vedic Age,2019-03-14 11:38:45,2020-01-04 04:05:32
3f1b6414-2014-4358-a277-b8e5b7ece248,Miscellaneous Indian Geography,2019-03-14 11:42:06,2020-01-04 04:05:32
45f39d59-efb8-4ac4-b2d3-2b965d19788c,World Geography,2019-03-14 11:31:34,2020-01-04 04:05:32
51f63c88-c00b-4b50-8da0-af8499cd12c5,Maratha Empire,2019-03-14 11:38:45,2020-01-04 04:05:32
56351627-5680-46ff-b80f-86f89505883d,Computer Fundamental Miscellaneous,2019-03-14 11:49:09,2020-01-04 04:05:32
56ac5bba-55be-40f4-9707-a20358ec6d86,"Indian Rivers, Lakes and Water",2019-03-14 11:42:06,2020-01-04 04:05:32
